0,0
0.628539,1.732051
0.258881,6.928203
0.686221,11.510779
0.669113,14.510779
0.470588,20.341731
0.650791,26.172683
0.316228,29.334960
0.196116,77.334960
0.507093,82.433980
0.624433,88.350060
0.414412,95.491488
0.478905,100.876653
0.646997,107.434091
0.636209,110.434091
0.454257,116.914832
0.471405,125.575086
0.441858,130.157662
0.316228,133.319940
0.316228,138.319940
0.316228,141.482217
0.584898,170.482217
0.695852,176.646631
0.391077,179.808909
0.242536,183.932014
0.666667,206.932014
0.322031,213.640218
0.610368,222.300472
0.242536,228.131424
0.393919,235.202492
0.182089,240.587657
0.196116,250.785696
0.534522,281.785696
0.637793,287.701776
0.671452,295.382922
0.316228,298.545199
0.000000,299.545199
